activity_no;license_number;activity_name
1;ЛО-78-01-005727;Акушерское дело
1;ЛО-78-01-005733;Акушерское дело
1;ЛО-78-01-005852;Акушерское дело
1;ЛО-78-01-005853;Акушерское дело
1;ЛО-78-01-005864;Акушерское дело
1;ЛО-78-01-005866;Акушерское дело
1;ЛО-78-01-005880;Акушерское дело
1;ЛО-78-01-005884;Акушерское дело
1;ЛО-78-01-005885;Акушерское дело
1;ЛО-78-01-005902;Акушерское дело
1;ЛО-78-01-005909;Акушерское дело
1;ЛО-78-01-005913;Акушерское дело
1;ЛО-78-01-005937;Акушерское дело
1;ЛО-78-01-005938;Акушерское дело
1;ЛО-78-01-005939;Акушерское дело
1;ЛО-78-01-005953;Акушерское дело
1;ЛО-78-01-005957;Акушерское дело
1;ЛО-78-01-005958;Акушерское дело
1;ЛО-78-01-005961;Акушерское дело
1;ЛО-78-01-005975;Акушерское дело
1;ЛО-78-01-005987;Акушерское дело
1;ЛО-78-01-006008;Акушерское дело
1;ЛО-78-01-006019;Акушерское дело
1;ЛО-78-01-006030;Акушерское дело
1;ЛО-78-01-006041;Акушерское дело
1;ЛО-78-01-006051;Акушерское дело
1;ЛО-78-01-006055;Акушерское дело
1;ЛО-78-01-006080;Акушерское дело
1;ЛО-78-01-006102;Акушерское дело
1;ЛО-78-01-006115;Акушерское дело
1;ЛО-78-01-006116;Акушерское дело
1;ЛО-78-01-006131;Акушерское дело
1;ЛО-78-01-006137;Акушерское дело
1;ЛО-78-01-006139;Акушерское дело
1;ЛО-78-01-006143;Акушерское дело
1;ЛО-78-01-006148;Акушерское дело
1;ЛО-78-01-006152;Акушерское дело
1;ЛО-78-01-006153;Акушерское дело
1;ЛО-78-01-006155;Акушерское дело
1;ЛО-78-01-006161;Акушерское дело
1;ЛО-78-01-006184;Акушерское дело
1;ЛО-78-01-006193;Акушерское дело
1;ЛО-78-01-006209;Акушерское дело
1;ЛО-78-01-006222;Акушерское дело
1;ЛО-78-01-006238;Акушерское дело
1;ЛО-78-01-006243;Акушерское дело
1;ЛО-78-01-006253;Акушерское дело
1;ЛО-78-01-006256;Акушерское дело
1;ЛО-78-01-006271;Акушерское дело
1;ЛО-78-01-006303;Акушерское дело
1;ЛО-78-01-006306;Акушерское дело
1;ЛО-78-01-006307;Акушерское дело
1;ЛО-78-01-006319;Акушерское дело
1;ЛО-78-01-006320;Акушерское дело
1;ЛО-78-01-006327;Акушерское дело
1;ЛО-78-01-006342;Акушерское дело
1;ЛО-78-01-006360;Акушерское дело
1;ЛО-78-01-006362;Акушерское дело
1;ЛО-78-01-006364;Акушерское дело
1;ЛО-78-01-006370;Акушерское дело
1;ЛО-78-01-006379;Акушерское дело
1;ЛО-78-01-006380;Акушерское дело
1;ЛО-78-01-006396;Акушерское дело
1;ЛО-78-01-006404;Акушерское дело
1;ЛО-78-01-006442;Акушерское дело
1;ЛО-78-01-006456;Акушерское дело
1;ЛО-78-01-006472;Акушерское дело
1;ЛО-78-01-006494;Акушерское дело
1;ЛО-78-01-006509;Акушерское дело
1;ЛО-78-01-006531;Акушерское дело
1;ЛО-78-01-006542;Акушерское дело
1;ЛО-78-01-006557;Акушерское дело
1;ЛО-78-01-006575;Акушерское дело
1;ЛО-78-01-006592;Акушерское дело
1;ЛО-78-01-006594;Акушерское дело
1;ЛО-78-01-006616;Акушерское дело
1;ЛО-78-01-006622;Акушерское дело
1;ЛО-78-01-006632;Акушерское дело
1;ЛО-78-01-006663;Акушерское дело
1;ЛО-78-01-006678;Акушерское дело
1;ЛО-78-01-006679;Акушерское дело
1;ЛО-78-01-006680;Акушерское дело
1;ЛО-78-01-006681;Акушерское дело
1;ЛО-78-01-006696;Акушерское дело
1;ЛО-78-01-006697;Акушерское дело
1;ЛО-78-01-006712;Акушерское дело
1;ЛО-78-01-006722;Акушерское дело
1;ЛО-78-01-006736;Акушерское дело
1;ЛО-78-01-006737;Акушерское дело
1;ЛО-78-01-006769;Акушерское дело
1;ЛО-78-01-006776;Акушерское дело
1;ЛО-78-01-006782;Акушерское дело
1;ЛО-78-01-006828;Акушерское дело
1;ЛО-78-01-006835;Акушерское дело
1;ЛО-78-01-006839;Акушерское дело
1;ЛО-78-01-006845;Акушерское дело
1;ЛО-78-01-006861;Акушерское дело
1;ЛО-78-01-006865;Акушерское дело
1;ЛО-78-01-006872;Акушерское дело
1;ЛО-78-01-006909;Акушерское дело
1;ЛО-78-01-006921;Акушерское дело
1;ЛО-78-01-006922;Акушерское дело
1;ЛО-78-01-006944;Акушерское дело
1;ЛО-78-01-006959;Акушерское дело
1;ЛО-78-01-006962;Акушерское дело
1;ЛО-78-01-006968;Акушерское дело
1;ЛО-78-01-006969;Акушерское дело
1;ЛО-78-01-006973;Акушерское дело
1;ЛО-78-01-007001;Акушерское дело
1;ЛО-78-01-007006;Акушерское дело
